 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Cleomaceae	0.0	0.015151515151515152	0.07407407407407407	0.017857142857142856	0.25	0.057777777777777775	0.0	0.04807692307692308	0.010752688172043012	0.1	0.049723756906077346	0.12195121951219512	0.011235955056179775	0.037383177570093455	0.008547008547008548	0.1375	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.0
Martyniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02247191011235955	0.004672897196261682	0.0	0.0	0.002403846153846154	0.0	0.0	0.0	0.0	0.0	0.0
Putranjivaceae	0.0	0.015151515151515152	0.024691358024691357	0.0	0.022727272727272728	0.022222222222222223	0.0	0.019230769230769232	0.0	0.00909090909090909	0.011049723756906077	0.0	0.0	0.0	0.008547008547008548	0.0125	0.004807692307692308	0.0	0.06666666666666667	0.0	0.0	0.030303030303030304	0.0
Aspleniaceae	0.0	0.0	0.012345679012345678	0.017857142857142856	0.0	0.013333333333333334	0.0	0.014423076923076924	0.03225806451612903	0.01818181818181818	0.011049723756906077	0.024390243902439025	0.011235955056179775	0.018691588785046728	0.008547008547008548	0.0	0.002403846153846154	0.0	0.06666666666666667	0.0	0.0	0.015151515151515152	0.08
Hamamelidaceae	0.0	0.0	0.037037037037037035	0.017857142857142856	0.022727272727272728	0.013333333333333334	0.0	0.009615384615384616	0.0	0.00909090909090909	0.0055248618784530384	0.0	0.033707865168539325	0.03271028037383177	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0
Asaraceae	0.0	0.0	0.012345679012345678	0.03571428571428571	0.022727272727272728	0.03111111111111111	0.0	0.03365384615384615	0.0	0.02727272727272727	0.027624309392265192	0.0	0.033707865168539325	0.009345794392523364	0.05982905982905983	0.025	0.007211538461538462	0.05555555555555555	0.2	0.0	0.0026246719160104987	0.07575757575757576	0.04
Paulowniaceae	0.0	0.0	0.0	0.017857142857142856	0.0	0.0	0.0	0.004807692307692308	0.0	0.0	0.0055248618784530384	0.024390243902439025	0.011235955056179775	0.018691588785046728	0.008547008547008548	0.0125	0.004807692307692308	0.05555555555555555	0.0	0.0	0.0	0.015151515151515152	0.0
Cordiaceae	0.0	0.015151515151515152	0.037037037037037035	0.0	0.022727272727272728	0.035555555555555556	0.0	0.014423076923076924	0.021505376344086023	0.05454545454545454	0.03867403314917127	0.04878048780487805	0.033707865168539325	0.037383177570093455	0.008547008547008548	0.0125	0.0	0.05555555555555555	0.0	0.0	0.0	0.015151515151515152	0.04
Bryaceae	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ximeniaceae	0.0	0.0	0.0	0.0	0.022727272727272728	0.022222222222222223	0.0	0.004807692307692308	0.010752688172043012	0.01818181818181818	0.011049723756906077	0.0	0.0	0.018691588785046728	0.0	0.0125	0.0	0.0	0.06666666666666667	0.0	0.0	0.015151515151515152	0.0
